编号,公司/单位,采样/报告时间,猪种,世代划分/特殊处理,耳号,性别/阉割,日龄,体重kg,切肉重, 倒数三四膘厚,胴体全重,计算半胴体重（kg）,左胴体重,右胴体重,半胴体重差值（kg）,前腿重（kg),背腰重（kg）,后腿重（kg）,左侧胴体合计,后腿比例,前腿骨（kg）,前腿肉（kg）,前腿皮脂（kg）,背腰骨（kg）,背腰肉（kg）,背腰皮脂（kg）,后腿骨（kg）,后腿肉（kg）,后腿皮脂（kg）,腿臀重（kg）,腿臀骨重,腿臀肉重,腿臀皮重,骨（kg）,肉（kg）,皮重,皮脂（kg）,屠宰率,体长cm,胴体（斜）长,管围,臀围,体高（cm）,6-7肋处,胸腰结合处,腰荐结合处,肩部最厚处,平均膘厚,6-7肋皮厚mm,眼肌高cm,眼肌宽cm,面积cm2,眼肌厚度（cm2）,板油重kg,瘦肉率1（半胴体）,瘦肉率%,,皮脂率%,骨  率%,腿臀比%,心（kg）,肝（kg）,脾（kg）,肺（kg）,肾（kg）,睾丸（双）,胃加大肠（kg）,内脏总重（kg）,目距（kg）,（半）板油（kg）,板油重kg,肾加板油（kg）,头（kg）,前蹄（kg）,后蹄（kg）,睾丸（kg）,腰肌重（kg）,眼肌重（kg）,肋排（kg）,槽头肉（kg）,梅花（kg）,半腱、半膜（kg）,胸围（cm）,胸宽,胸深,腹围（cm）,背膘厚(mm),耳长（cm),耳宽（cm),头长（cm),头高（cm),嘴长（cm),吻高（cm),吻宽（cm),两眼间内间距,下眼眶至吻突,小肠长（cm),乳头数(对),颈椎长度（cm）,颈椎数目,胸椎长度（cm）,胸椎数目,第1胸椎棘突高cm,腰椎长度（cm）,腰椎数目,第1腰椎棘突高cm,6-7肋肋弓宽cm,肋骨（根）,眼肌pH45min,眼肌pH24h,眼肌pH48h,眼肌pH72h,眼肌pH96h,腰肌pH45min,腰肌pH24h,腰肌pH48h,腰肌pH72h,腰肌pH96h,眼肌肉色L值45min,眼肌肉色a值45min,眼肌肉色b值45min,眼肌肉色L值24h,眼肌肉色a值24h,眼肌肉色b值24h,眼肌肉色L值48h,眼肌肉色a值48h,眼肌肉色b值48h,眼肌肉色L值72h,眼肌肉色a值72h,眼肌肉色b值72h,眼肌肉色L值96h,眼肌肉色a值96h,眼肌肉色b值96h,腰肌肉色L值45min,腰肌肉色a值45min,腰肌肉色b值45min,腰肌肉色L值24h,腰肌肉色a值24h,腰肌肉色b值24h,腰肌肉色L值48h,腰肌肉色a值48h,腰肌肉色b值48h,腰肌肉色L值72h,腰肌肉色a值72h,腰肌肉色b值72h,腰肌肉色L值96h,腰肌肉色a值96h,腰肌肉色b值96h,嫩度(眼),韧性(眼),嫩度(腰),韧性(腰),滴水损失(眼),滴水损失(腰),压水(眼),压水(腰),大理石纹(眼),大理石纹(腰),眼肌力度,眼肌韧度(kg. sec),腰肌力度,腰肌韧度(kg. sec)
302,成华,,成华,,676,母,13,98.5,,,74.9233,,37.89,37.0333,,,,,,,,,,,,,,,,,,,,,,,,0.76064264,74,68,,,,48.48,28.36,29.4,56.86,38.20666667,7.3,4.162,6.108,17.7950472,,1.846,,0.446308914,,0.462751281,0.090939805,0.235418316,,,,,,,,,,,1.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.76,5.886666667,,,,5.88,5.763333333,,,,46.15,7.936666667,6.903333333,46.38333333,7.496666667,6.236666667,,,,,,,,,,39.34666667,21.38666667,9.583333333,45.22666667,19.05666667,11.46,,,,,,,,,,,,,,0.017857143,,,,,,,,,
303,成华,,成华,,632,母,13,96.5,,,68.698,,35.46,33.238,,,,,,,,,,,,,,,,,,,,,,,,0.711896373,75,69,,,,32.16,28.8,24.66,52.72,35.39333333,8.36,5.43,6.812,25.892412,,1.856,,0.452453896,,0.435994473,0.111551631,0.264467005,,,,,,,,,,,1.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65,6.066666667,,,,6.22,6.486666667,,,,45.31,12.61,6.773333333,49.09,12.52333333,8.116666667,,,,,,,,,,41.91666667,19.53,7.913333333,44.38,20.09666667,9.75,,,,,,,,,,,,,,0.016129032,,,,,,,,,
304,绵阳明兴,2019.12.27,YY,,13741578,公,,110.7,,,81.90315375,,40.95157688,,,,,,,,,,,,,,,,,,,,,,,,,73.98658876,86,91,,,,10.18,9.84,3.68,23.99,12.50333333,,6.037,4.556,19.2532004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.343333333,5.516666667,5.496666667,,,5.8,5.713333333,5.773333333,,,42.08333333,2.973333333,3.566666667,51.84666667,5.64,7.31,54.17,5.463333333,6.786666667,,,,,,,39.36666667,13.53666667,5.993333333,49.34666667,13.62,10.54666667,45.74666667,14.05333333,10.99,,,,,,,11.37,53.16,,,1.796407186,,26.41509434,,2.5,,,,,
305,绵阳明兴,2019.12.28,YY,,13742184,公,,104.2,,,75.4994059,,37.74970295,,,,,,,,,,,,,,,,,,,,,,,,,72.45624366,84,87,,,,8.07,3.76,2.18,24.72,10.22,,6.31,3.701,16.347317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27,5.38,5.456666667,,,6.033333333,5.86,5.87,,,41.19333333,2.13,2.02,51.43666667,6.226666667,7.263333333,58.32666667,6.79,9.81,,,,,,,38.47666667,14.27333333,5.346666667,38.25666667,12.18333333,6.27,38.27,12.44,6.93,,,,,,,5.47,24.59,,,3.557312253,,27.41935484,,3.5,,,,,
306,绵阳明兴,2019.12.29,YY,,13742180,公,,103.8,,,75.52133988,,37.76066994,,,,,,,,,,,,,,,,,,,,,,,,,72.75658948,80,84,,,,9.69,6.12,14.2,28.55,16.29,,6.656,4.198,19.5593216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,5.493333333,5.486666667,,,5.96,5.76,5.846666667,,,39.96,6.126666667,3.196666667,47.75333333,7.52,5.953333333,48.27666667,8.93,7.956666667,,,,,,,37.04666667,10.81,3.673333333,39.05,14.22,6.256666667,42.30333333,13.01333333,8.266666667,,,,,,,9.87,46.69,,,2.028985507,,27.27272727,,2,,,,,
307,绵阳明兴,2019.12.30,YY,,13741573,公,,102.2,,,75.95404251,,37.97702126,,,,,,,,,,,,,,,,,,,,,,,,,74.31902399,83,85,,,,9.49,4.94,4.93,23.27,11.04666667,,8.2,5.391,30.94434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.523333333,5.556666667,5.54,,,6.563333333,6.186666667,6.296666667,,,44.65666667,3.403333333,4.63,51.02333333,6.52,7.91,52.06666667,5.72,8.133333333,,,,,,,39.44666667,13.49666667,5.39,37.20666667,11.09666667,5.253333333,42.62666667,13.26333333,8.906666667,,,,,,,10.86,45.72,,,1.994301994,,25,,2.5,,,,,
308,绵阳明兴,2019.12.31,YY,,13742775,公,,101.6,,,73.64475401,,36.82237701,,,,,,,,,,,,,,,,,,,,,,,,,72.48499411,84,87,,,,11.62,3.36,3.82,26.35,11.17666667,,6.917,3.479,16.8449701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.386666667,5.44,5.456666667,,,6.14,5.953333333,5.953333333,,,42.83,3.096666667,3.113333333,51.2,7.486666667,8.21,52.72333333,8.36,10.16666667,,,,,,,37.01,14.11333333,4.866666667,43.15333333,13.04666667,7.346666667,42.04,13.52,8.02,,,,,,,6.39,25.94,,,1.811594203,,31.25,,3,,,,,
309,绵阳明兴,2019.12.32,YY,,13742785,公,,114.6,,,84.84260282,,42.42130141,,,,,,,,,,,,,,,,,,,,,,,,,74.03368484,84,87,,,,10.53,11.41,7.42,29.51,16.11333333,,6.235,4.673,20.3953085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.706666667,5.483333333,5.59,,,6.146666667,5.91,5.99,,,42.95,3.19,3.966666667,48.53,8.096666667,8.506666667,55.06333333,6.523333333,10.32666667,,,,,,,39.59333333,7.446666667,3.286666667,41.66,9.49,6.046666667,44.39,15.19333333,10.28,,,,,,,8.21,38.69,,,2.62295082,,31.81818182,,3,,,,,
310,绵阳明兴,2019.12.33,YY,,13741571,公,,113,,,87.60261361,,43.80130681,,,,,,,,,,,,,,,,,,,,,,,,,77.52443682,87,89,,,,10.73,8.63,4.12,33.27,15.34,,5.612,4.627,18.1767068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.326666667,5.51,5.556666667,,,5.946666667,5.62,5.666666667,,,40.04666667,2.623333333,2.09,48.69333333,5.946666667,7.526666667,57.51,4.64,7.793333333,,,,,,,40.60333333,7.346666667,2.636666667,46.63333333,8.926666667,7.54,47.22333333,10.53,9.97,,,,,,,6.98,30.37,,,1.949860724,,26.92307692,,2.5,,,,,
311,绵阳明兴,2019.12.34,YY,,13741577,公,,106.6,,,77.49978502,,38.74989251,,,,,,,,,,,,,,,,,,,,,,,,,72.70148688,80,85,,,,5.92,12.99,4.53,28.86,15.46,,5.802,4.298,17.4558972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.223333333,5.586666667,5.923333333,,,6.3,6.386666667,6.52,,,41.87,6.51,3.426666667,48.27666667,8.526666667,7.023333333,43.62333333,7.923333333,6.613333333,,,,,,,41.16,16.11,6.683333333,39.77,14.41333333,5.786666667,39.56,14.83333333,6.013333333,,,,,,,10.19,49.67,,,1.818181818,,29.09090909,,3.5,,,,,
312,绵阳明兴,2019.12.35,YY,,13741576,公,,99.8,,,78.53192743,,39.26596372,,,,,,,,,,,,,,,,,,,,,,,,,78.68930605,78,81,,,,9.81,8.82,3.79,26.93,13.18,,6.225,4.649,20.2580175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.486666667,5.476666667,5.556666667,,,6.163333333,5.613333333,5.766666667,,,32.19666667,4.306666667,3.84,50.83666667,7.043333333,7.443333333,49.07,6.986666667,7.18,,,,,,,35.07666667,11.41666667,3.326666667,39.52666667,11.72666667,5.126666667,40.04333333,12.78,8.246666667,,,,,,,6.64,27.49,,,3.560830861,,29.09090909,,2,,,,,
313,绵阳明兴,2019.12.36,YY,,13741572,公,,115.8,,,82.71924819,,41.3596241,,,,,,,,,,,,,,,,,,,,,,,,,71.43285681,85,89,,,,9.73,11.73,6.72,27.34,15.26333333,,6.404,5.131,23.0012468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.506666667,5.57,5.633333333,,,6.41,6.436666667,6.523333333,,,39.38666667,4.333333333,2.69,45.70666667,7.063333333,5.91,47.78666667,6.9,6.74,,,,,,,35.07666667,13.26666667,4.99,34.59333333,12.24666667,4.583333333,36.95666667,13.97333333,6.24,,,,,,,7.38,29.86,,,0.974025974,,25,,3,,,,,
314,绵阳明兴,2019.12.37,LL,,13742781,母,,93.2,,,67.62689458,,33.81344729,,,,,,,,,,,,,,,,,,,,,,,,,72.56104569,82,85,,,,13.88,14.42,5.56,24.92,14.96666667,,6.552,4.685,21.487284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.416666667,5.403333333,5.453333333,,,6.343333333,5.623333333,5.63,,,41.06,3.736666667,2.71,48.82666667,6.733333333,7.24,49.37666667,5.79,7.103333333,,,,,,,38.03,10.16,3.933333333,45.25333333,14.16666667,9.55,47.4,16.68333333,11.29666667,,,,,,,4.71,18.79,,,2.058823529,,32.78688525,,2,,,,,
315,绵阳明兴,2019.12.38,YY,,13741582,母,,106.5,,,81.07630495,,40.53815248,,,,,,,,,,,,,,,,,,,,,,,,,76.12798587,82,84,,,,22.86,16.41,13.33,38.67,22.80333333,,6.682,4.371,20.4449154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.953333333,5.403333333,5.51,,,6.016666667,5.7,5.82,,,39.24333333,3.11,2.573333333,48.35,5.553333333,6.016666667,51.42666667,4.7,6.413333333,,,,,,,36.88666667,14.46,5.346666667,41.44,12.98666667,7.363333333,42.7,11.24666667,8.28,,,,,,,7.35,30.99,,,1.857585139,,31.34328358,,3,,,,,
316,绵阳明兴,2019.12.39,LL,,13742783,母,,103.8,,,76.01245781,,38.0062289,,,,,,,,,,,,,,,,,,,,,,,,,73.22972814,83,86,,,,13.49,11.64,7.88,23.41,14.31,,5.145,4.051,14.5896765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.633333333,5.39,5.536666667,,,6.323333333,5.97,6.23,,,38.85666667,1.55,2.04,44.00666667,2.963333333,2.986666667,48.64,3.196666667,4.326666667,,,,,,,37.98333333,13.17666667,5.373333333,40.17666667,11.95666667,5.473333333,42.50666667,13.79,7.66,,,,,,,10.53,43.99,,,2.058823529,,26.78571429,,3,,,,,
317,绵阳明兴,2019.12.40,YY,,13741579,母,,105.5,,,81.32814192,,40.66407096,,,,,,,,,,,,,,,,,,,,,,,,,77.08828618,81,83,,,,15.29,18.15,12.36,30.25,20.25333333,,6.208,4.178,18.1559168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.633333333,5.496666667,5.553333333,,,6.523333333,5.68,5.726666667,,,38.28333333,1.653333333,1.87,47.93666667,8.866666667,7.333333333,53.29666667,6.26,7.723333333,,,,,,,38.64666667,10.71333333,3.413333333,41.72666667,11.95666667,6.92,42.47666667,12.37333333,8.283333333,,,,,,,7.85,33,,,2.5,,31.14754098,,2,,,,,
318,绵阳明兴,2019.12.41,LL,,13742772,母,,105.7,,,80.63572136,,40.31786068,,,,,,,,,,,,,,,,,,,,,,,,,76.28734282,84,87,,,,23.78,15.94,17.42,27.79,20.38333333,,7.453,4.58,23.894318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.256666667,5.433333333,5.48,,,6.21,5.493333333,5.6,,,41.37333333,4.716666667,3.553333333,53.41666667,9.43,10.7,51.11,5.91,4.673333333,,,,,,,41.62333333,9.426666667,4.753333333,46.94,10.88666667,7.783333333,50.35333333,13.12333333,9.82,,,,,,,5.53,22.62,,,2.686567164,,31.34328358,,2,,,,,
319,绵阳明兴,2019.12.42,LL,,13741574,母,,93.8,,,65.90850271,,32.95425135,,,,,,,,,,,,,,,,,,,,,,,,,70.26492826,80,83,,,,6.24,7.97,5.17,21.28,11.47333333,,6.63,3.489,16.192449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.003333333,5.353333333,5.424333333,,,6.056666667,5.913333333,5.943333333,,,44.92,4.146666667,4.713333333,53.06,7.84,8.686666667,53.93,9.563333333,10.78,,,,,,,38.87,12.96333333,5.193333333,36.72666667,11.47,5.176666667,44.79666667,18.46,11.25,,,,,,,5.12,18.75,,,2.102102102,,34.48275862,,2.5,,,,,
320,绵阳明兴,2019.12.43,LL,,13742776,母,,96.8,,,68.47940126,,34.23970063,,,,,,,,,,,,,,,,,,,,,,,,,70.74318312,84,87,,,,10.64,8.7,3.66,30.48,14.28,,4.887,3.68,12.588912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02,5.383333333,5.4,,,5.996666667,5.57,5.63,,,43.44666667,3.746666667,4.486666667,49.25,5.17,6.396666667,51.52666667,6.55,8.21,,,,,,,36.95,11.5,4.733333333,45.52333333,12.89333333,9.95,50.09333333,12.91333333,12.18,,,,,,,5.71,23.85,,,1.533742331,,27.45098039,,3.5,,,,,
321,绵阳明兴,2019.12.44,YY,,13741575,母,,81.5,,,58.11618535,,29.05809268,,,,,,,,,,,,,,,,,,,,,,,,,71.30820289,77,81,,,,8.73,6,4.03,23.96,11.33,,6.232,4.337,18.9197288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.136666667,5.403333333,5.497,,,5.913333333,5.49,5.563333333,,,44.57333333,5.426666667,4.946666667,52.7,10.34666667,8.893333333,48.52333333,9.366666667,8.85,,,,,,,39.27666667,15.73333333,6.176666667,48.82333333,16.01,10.65,49.89333333,14.41666667,12.77666667,,,,,,,5.72,25.34,,,2.089552239,,29.16666667,,3,,,,,
322,绵阳明兴,2019.12.45,YY,,13741586,母,,103.9,,,77.4927845,,38.74639225,,,,,,,,,,,,,,,,,,,,,,,,,74.58400818,83,86,,,,11.61,10.58,9.58,15.58,11.91333333,,6.605,4.288,19.825568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.126666667,5.42,5.486666667,,,6.306666667,5.813333333,6.13,,,39.87,4.353333333,2.313333333,51.47333333,9.286666667,9.1,50.67,6.85,7.106666667,,,,,,,38.20333333,10.81666667,3.846666667,39.51666667,10.33666667,5.523333333,43.88333333,13.93333333,8.576666667,,,,,,,6.54,30.05,,,2.743902439,,30,,2.5,,,,,
323,绵阳明兴,2019.12.46,YY,,13741580,母,,83.5,,,63.7857784,,31.8928892,,,,,,,,,,,,,,,,,,,,,,,,,76.39015377,78,80,,,,9.57,7.94,2.14,19.64,9.906666667,,4.532,4.584,14.5422816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.926666667,5.41,5.476666667,,,5.93,5.44,5.523333333,,,41.74,4.193333333,3.333333333,53.86666667,8.29,8.51,51.38666667,7.28,8.733333333,,,,,,,37.01666667,12.04666667,5.37,44.82333333,13.13333333,7.556666667,41.67,12.15,8.023333333,,,,,,,4.71,19.17,,,3.370786517,,32.0754717,,3,,,,,
324,绵阳明兴,2019.12.47,LL,,13748782,母,,99.4,,,87.12595022,,43.56297511,,,,,,,,,,,,,,,,,,,,,,,,,87.65186139,83,85,,,,27.5,14.4,10.35,36.3,20.35,,5.28,4.345,16.05912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.386666667,5.423333333,5.47,,,6.073333333,5.643333333,5.653333333,,,44.14666667,5.263333333,4.903333333,50.85,8.18,8.323333333,54.76,7.386666667,9.623333333,,,,,,,38.29333333,13.20666667,4.37,38.55,13.16333333,5.67,42.36,13.77333333,9.426666667,,,,,,,4.51,16.89,,,2.727272727,,30.50847458,,2.5,,,,,
325,绵阳明兴,2019.12.48,LL,,13741582,母,,87.7,,,63.92132397,,31.96066199,,,,,,,,,,,,,,,,,,,,,,,,,72.88634432,79,83,,,,26.64,8.23,3.7,26.67,12.86666667,,7.704,4.128,22.2614784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.653333333,5.443333333,5.516666667,,,6.636666667,5.603333333,5.663333333,,,43.57,3.13,3.61,55.27,7.816666667,9.883333333,53.90333333,7.02,9.06,,,,,,,43.32,13.66,6.81,45.78,10.49666667,7.336666667,48.72,10.35666667,9.15,,,,,,,7.35,30.99,,,1.935483871,,28.30188679,,3,,,,,
326,绵阳明兴,2019.12.49,YY,,13742779,母,,107.2,,,92.27495022,,46.13747511,,,,,,,,,,,,,,,,,,,,,,,,,86.07737894,81,84,,,,21.78,13.64,11.9,39.81,21.78333333,,6.184,4.49,19.436312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.806666667,5.476666667,5.54,,,6.556666667,5.66,5.833333333,,,38.93666667,3.996666667,3.103333333,43.85,6.143333333,4.453333333,48.60666667,9.346666667,8.743333333,,,,,,,41.35666667,11.46,4.606666667,40.60666667,9.423333333,5.12,44.72333333,11.74,8.533333333,,,,,,,9.36,39.99,,,2.994011976,,31.37254902,,3,,,,,
327,绵阳明兴,2019.12.50,YY,,13742777,母,,101.9,,,64.33879079,,32.16939539,,,,,,,,,,,,,,,,,,,,,,,,,63.13914699,80.5,81,,,,13.72,10.54,4.08,25.77,13.46333333,,5.653,5.191,20.5413061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.76,5.41,5.506666667,,,6.513333333,5.736666667,5.76,,,39.98333333,4.94,3.94,52.31,6.14,6.926666667,55.32333333,5.663333333,6.93,,,,,,,44.24333333,9.52,3.196666667,44.64333333,13.83333333,7.996666667,45.43333333,13.74333333,9.473333333,,,,,,,6.39,29.05,,,1.25,,34.375,,3,,,,,
328,绵阳明兴,2019.12.51,LL,,13742774,母,,110.6,,,81.07661453,,40.53830727,,,,,,,,,,,,,,,,,,,,,,,,,73.30616142,85.5,85,,,,21.31,14.3,6.61,32.13,17.68,,6.735,5.464,25.760028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.616666667,5.416666667,5.453333333,,,6.4,5.643333333,5.696666667,,,42.8,2.703333333,3.936666667,48.27666667,6.05,6.453333333,50.65333333,5.453333333,6.906666667,,,,,,,40.28333333,7.78,3.376666667,45.75,13.41333333,8.67,42.52333333,14.94,9.333333333,,,,,,,5.38,21.77,,,2.089552239,,36.53846154,,3.5,,,,,
329,绵阳明兴,2019.12.52,YY,,13741585,母,,109.6,,,82.17785945,,41.08892973,,,,,,,,,,,,,,,,,,,,,,,,,74.97979877,83,83.5,,,,21.56,11.58,10.65,28.65,16.96,,7.836,4.391,24.0855132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,5.513333333,5.52,,,6.243333333,5.516666667,5.566666667,,,37.83666667,3.163333333,2.853333333,44.89,6.9,6.356666667,48.91333333,7.556666667,7.756666667,,,,,,,38.20333333,9.793333333,3.166666667,46.56333333,13.85,9.333333333,46.69333333,13.92,9.763333333,,,,,,,6.66,32.18,,,2.388059701,,,,3,,,,,
330,绵阳明兴,2019.12.53,LL,,13741581,母,,84.5,,,60.65060172,,30.32530086,,,,,,,,,,,,,,,,,,,,,,,,,71.77586003,78,79,,,,21.34,12.51,9.51,33.02,18.34666667,,5.507,4.057,15.6393293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.183333333,5.446666667,5.5,,,6.216666667,5.48,5.563333333,,,42.50666667,3.276666667,3.606666667,49.39666667,5.616666667,6.023333333,54.17666667,6.486666667,9.3,,,,,,,41.91,8.506666667,2.916666667,50.36,13.9,10.17333333,50.98,15.06,12.93,,,,,,,7.04,29.38,,,10.97922849,,38.33333333,,2,,,,,
331,绵阳明兴,2019.12.54,YY,,13742778,母,,105.2,,,76.37090752,,38.18545376,,,,,,,,,,,,,,,,,,,,,,,,,72.5959197,78,79,,,,28.77,17,5.53,29.54,17.35666667,,6.483,5.884,26.7021804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.483333333,5.436666667,5.49,,,6.183333333,5.613333333,5.69,,,38.70666667,2.98,2.583333333,50.34333333,5.79,6.343333333,52.31666667,7.06,8.32,,,,,,,36.90666667,10.34,3.286666667,43.19333333,12.83333333,8.406666667,49.14666667,12.69333333,11.60333333,,,,,,,9.01,39.35,,,1.479289941,,34,,2.5,,,,,
332,绵阳明兴,2019.12.55,YY,,13742773,母,,81.3,,,56.61587163,,28.30793582,,,,,,,,,,,,,,,,,,,,,,,,,69.63821849,74.5,75,,,,15.46,8.38,2.78,22.28,11.14666667,,3.349,3.586,8.4066598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,5.533333333,5.566666667,,,6.596666667,5.63,5.793333333,,,40.02333333,5.78,4.636666667,47.06666667,7.456666667,6.203333333,51.07666667,7.543333333,8.88,,,,,,,41.80666667,8.59,2.093333333,42.29,11.98333333,7.65,47.01666667,9.616666667,9.233333333,,,,,,,10.19,44.41,,,1.607717042,,36,,3,,,,,
333,绵阳明兴,2019.12.56,LL,,13741584,母,,100.1,,,63.59057747,,31.79528873,,,,,,,,,,,,,,,,,,,,,,,,,63.52705041,80,81,,,,23.7,11.6,6.64,25.33,14.52333333,,3.618,2.253,5.7059478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.483333333,5.43,5.493333333,,,6.576666667,5.596666667,5.66,,,43.74333333,4.196666667,3.636666667,49.80666667,6.976666667,7.833333333,56.20333333,7.943333333,10.19,,,,,,,40.83666667,6.786666667,2.88,46.53333333,9.966666667,7.516666667,48.75666667,10.15333333,9.206666667,,,,,,,9.32,41.26,,,1.904761905,,40.35087719,,2,,,,,
334,绵阳新希望,2020.7.27,DD,,DDJYZC120002167,母,,112.5,,,95.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,97,,,,1.588,,0.966,2.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.786666667,6.023333333,5.92,,,6.57,6.53,6.373333333,,,42.85,2.493333333,4.19,44.57333333,3.056666667,3.886666667,44.96333333,4.073333333,4.27,,,,,,,42.64,11.57,6.053333333,40.92,9.153333333,5.096666667,41.16666667,10.43666667,5.356666667,,,,,,,12.09,55.9,,,0.034482759,,0.1504329,,,,,,,
335,绵阳新希望,2020.7.27,DD,,DDJYZC120003233,母,,119,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5,100.5,,,,1.752,,2.048,3.538,,,6.715,10.648,50.050924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.566666667,5.52,5.503333333,,,6.35,5.953333333,5.923333333,,,44.04333333,5.183333333,5.216666667,49.85,4.786666667,5.44,50.14666667,3.873333333,4.393333333,,,,,,,42.38333333,12.5,5.71,41.93,10.84666667,5.64,44.12666667,10.26333333,6.033333333,,,,,,,8.79,41.63,,,0.049484536,,0.189269747,,,,,,,
336,绵阳新希望,2020.7.27,DD,,DDJYZC120002300,母,,114.3,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,95,,,,2.667,,1.539,3.305,,,6.868,4.202,20.2015352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.723333333,5.603333333,5.533333333,,,6.66,5.92,5.813333333,,,41.68,4.253333333,3.156666667,47.28,5.123333333,5.576666667,50.17666667,5.9,7.706666667,,,,,,,42.91333333,13.62333333,6.69,46.23333333,10.62,7.376666667,44.04,10.65666667,8.93,,,,,,,8.23,37.89,,,0.058548009,,0.253502155,,,,,,,
337,绵阳新希望,2020.7.27,DD,,DDJYZC120002168,母,,107.1,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.5,103,,,,2.008,,1.012,3.096,,,8.032,5.636,31.6878464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.496666667,5.5,5.46,,,6.386666667,6.206666667,6.083333333,,,39.23666667,2.36,2.156666667,48.04,3.73,4.393333333,49.75666667,5.03,7.21,,,,,,,39.87333333,11.12,4.36,40.63333333,10.48666667,4.9,40.64333333,9.663333333,7.076666667,,,,,,,15.28,72.93,,,0.061016949,,0.269335512,,,,,,,
